Name,Process,CaptureTime,EdgesTime,DeisolationTime,ErrorMass,ErrorDensity,ErrorTime,WhiteMass,WhiteDensity,WhiteTime,TotalTime,Author
IMG_2666,B2D,0.2656052,0.2413911,37.0251547,20492377.706147056,35.85492026074833,2.0780027,570895.0,0.9988784608493603,12.9470275,52.5571812,Julian
IMG_2666,F2D,0.3779044,0.2079259,36.6801372,18908904.065228734,33.084362254046525,1.9990281,570674.0,0.9984917835446936,13.0107882,52.2757838,Julian
IMG_2666,I2D,0.1720003,22.8266673,37.5183041,2352393.131983615,4.1159141891037745,1.1110005,570540.0,0.998257327622407,12.8740053,74.5019775,Julian
IMG_2667,CED,0.3177563,7.1160327,36.9648437,3843921.4804373113,6.725598178307773,2.1829986,566585.0,0.9913373785728283,12.6241622,59.2057935,Julian
IMG_2667,B2D,0.1770259,0.2000644,36.6610254,17392733.44468909,30.431562394475748,2.0799988,567386.0,0.9927388650933624,12.7720028,51.8901173,Julian
IMG_2667,F2D,0.190066,0.1986222,36.9879834,17192542.82044017,30.08129465237565,2.0824843,567524.0,0.9929803196998964,12.9560896,52.4152455,Julian
IMG_2667,I2D,0.1739989,22.5880013,37.1302833,4956348.207651963,8.671979031333045,1.430002,566138.0,0.9905552756081857,12.9581384,74.2804239,Julian
IMG_2668,CED,0.2943438,6.9919077,38.6491951,4036504.0868542106,7.062554391769216,2.1890078,569587.0,0.9965898911004731,13.1320151,61.2564695,Julian
IMG_2668,B2D,0.1730818,0.2289074,36.8847074,19795763.75262259,34.636074984992355,2.0879982,569970.0,0.997260015117158,13.1060015,52.4806963,Julian
IMG_2668,F2D,0.1750059,0.1728472,37.3309006,9717393.063280344,17.002241439350005,1.5240161,570377.0,0.997972131239327,13.0359833,52.2387531,Julian
IMG_2668,I2D,0.1771015,22.6731924,37.9437041,2278559.0708263707,3.986728868918792,1.1660034,570613.0,0.9983850536099214,13.2530245,75.2130259,Julian
IMG_2669,CED,0.2987252,7.1929018,40.824154,4207588.158349288,7.361895240805982,2.8830008,562589.0,0.9843456930097142,13.4830263,64.6818081,Julian
IMG_2669,B2D,0.1699998,0.1980007,36.6307206,18043763.14730524,31.570650225541765,2.0660278,563349.0,0.9856754430167128,13.1279718,52.1927207,Julian
IMG_2669,F2D,0.1710032,0.1984472,37.1787689,15267040.29690537,26.712298607446197,2.1115495,563673.0,0.9862423364407491,12.7839997,52.4437685,Julian
IMG_2669,I2D,0.230988,22.5213612,37.2828292,7809807.185980774,13.664593631863564,1.6669744,561303.0,0.9820956160241875,12.7889999,74.4911527,Julian
IMG_2670,CED,0.2940565,6.9389336,37.000477,4207588.158349288,7.361895240805982,2.1670023,562589.0,0.9843456930097142,12.8500326,59.250502,Julian
