Target,Status,Width,Height,PixelCount,TotalTime,Author
sean_IMG_20210604_105412.jpg,Good,4144,1968,8155392,629724.9988,Julian Caleb
yorika_IMG_20210603_134943.jpg,Good,3478,2148,7470744,591186.0019,Julian Caleb
yorika_IMG_20210604_131759.jpg,Good,2896,3440,9962240,767628.0,Julian Caleb
sean_IMG_20210604_105035.jpg,Good,4144,1800,7459200,594321.0024,Julian Caleb
yorika_IMG_20210604_131227.jpg,Good,5120,2880,14745600,1136159.9981,Julian Caleb
sean_IMG_20210604_105359.jpg,Good,4144,1968,8155392,641998.9992,Julian Caleb
sean_IMG_20210604_104006.jpg,Good,584,768,448512,37159.9986,Julian Caleb
yorika_IMG_20210603_134926.jpg,Good,3525,2400,8460000,657343.0013,Julian Caleb
yorika_IMG_20210604_131740.jpg,Good,6000,3424,20544000,1477717.9986,Julian Caleb
yorika_IMG_20210604_131214.jpg,Good,5120,2892,14807040,1134953.0009,Julian Caleb
sean_IMG_20210604_105002.jpg,Good,4144,1968,8155392,637263.9995,Julian Caleb
sean_IMG_20210604_104712.jpg,Good,1836,3316,6088176,482564.9983,Julian Caleb
sean_IMG_20210604_105126.jpg,Good,1968,2969,5842992,467391.0005,Julian Caleb
sean_IMG_20210604_105342.jpg,Good,3053,1968,6008304,474984.0016,Julian Caleb
yorika_IMG_20210603_134657.jpg,Good,4160,2400,9984000,772636.002,Julian Caleb
sean_IMG_20210604_104640.jpg,Good,1968,3748,7376064,583495.9986,Julian Caleb
yorika_IMG_20210604_131646.jpg,Good,5968,3328,19861504,1538114.0001,Julian Caleb
sean_IMG_20210604_104931.jpg,Good,4144,1728,7160832,569486.9996,Julian Caleb
yorika_IMG_20210604_131150.jpg,Good,3454,1920,6631680,514848.9997,Julian Caleb
sean_IMG_20210604_105312.jpg,Good,3196,1752,5599392,437640.0009,Julian Caleb
yorika_IMG_20210603_134615.jpg,Good,4412,2460,10853520,848726.0018,Julian Caleb
yorika_IMG_20210604_131636.jpg,Good,4320,2432,10506240,841457.9993,Julian Caleb
yorika_IMG_20210604_131131.jpg,Good,2432,1416,3443712,261179.9991,Julian Caleb
sean_IMG_20210604_104834.jpg,Good,3508,1668,5851344,467008.0006,Julian Caleb
sean_IMG_20210604_104058.jpg,Good,632,816,515712,42093.9951,Julian Caleb
sean_IMG_20210604_105300.jpg,Good,4144,1788,7409472,580294.0008,Julian Caleb
sean_IMG_20210604_103653.jpg,Good,976,896,874496,71193.9994,Julian Caleb
sean_IMG_20210604_105443.jpg,Good,3592,1968,7069056,557965.0018,Julian Caleb
yorika_IMG_20210604_131428.jpg,Good,4272,4608,19685376,1560836.9986,Julian Caleb
yorika_IMG_20210604_131116.jpg,Good,1888,1104,2084352,160203.0014,Julian Caleb
